processid;state;user;tasktype;taskid;action;pmmid;region;priority;
110336;OPEN;User task 2;USER_TASK;202223;ASSIGNED;1864;PRETORIA;1;#N/A
110552;OPEN;Approve GeoSlam;USER_TASK;201968;ASSIGNED;1880;JOHANNESBURG;2;#N/A
110550;OPEN;Approve GeoSlam;USER_TASK;201966;ASSIGNED;1881;JOHANNESBURG;2;#N/A
110304;OPEN;User task 2;USER_TASK;202073;ASSIGNED;1905;PORT ELIZABETH;1;#N/A
130059;OPEN;Approve GeoSlam;USER_TASK;202162;ASSIGNED;1905;PORT ELIZABETH;1;#N/A
110259;OPEN;User task 2;USER_TASK;201838;ASSIGNED;2013;MMABATHO;3;#N/A
110246;OPEN;User task 2;USER_TASK;201839;ASSIGNED;2014;MMABATHO;3;#N/A
110248;OPEN;User task 2;USER_TASK;201840;ASSIGNED;2015;MMABATHO;3;#N/A
130061;OPEN;Approve QA;USER_TASK;202356;ASSIGNED;2191;PORT ELIZABETH;1;#N/A
130063;OPEN;Approve QA;USER_TASK;202358;ASSIGNED;2194;PORT ELIZABETH;1;#N/A
110310;OPEN;User task 2;USER_TASK;202293;ASSIGNED;2216;PORT ELIZABETH;1;#N/A
120017;OPEN;Approve GeoSlam;USER_TASK;202168;ASSIGNED;2216;PORT ELIZABETH;1;#N/A
120019;OPEN;Approve GeoSlam;USER_TASK;202170;ASSIGNED;2303;PORT ELIZABETH;1;#N/A
110314;OPEN;User task 2;USER_TASK;201797;ASSIGNED;2306;PORT ELIZABETH;1;#N/A
120021;OPEN;Approve GeoSlam;USER_TASK;202172;ASSIGNED;2306;PORT ELIZABETH;1;#N/A
120023;OPEN;Approve GeoSlam;USER_TASK;202174;ASSIGNED;2307;PORT ELIZABETH;1;#N/A
100163;OPEN;User task 2;USER_TASK;202072;ASSIGNED;2471;CAPE TOWN;1;#N/A
130065;OPEN;Approve GeoSlam;USER_TASK;202176;ASSIGNED;2471;CAPE TOWN;1;#N/A
110284;OPEN;User task 2;USER_TASK;201844;ASSIGNED;2473;CAPE TOWN;1;#N/A
130067;OPEN;Approve GeoSlam;USER_TASK;202178;ASSIGNED;2473;CAPE TOWN;1;#N/A
120025;OPEN;Approve GeoSlam;USER_TASK;202180;ASSIGNED;2474;CAPE TOWN;1;#N/A
110250;OPEN;User task 2;USER_TASK;201832;ASSIGNED;2548;MMABATHO;1;#N/A
110342;OPEN;User task 2;USER_TASK;202222;ASSIGNED;2555;CAPE TOWN;1;#N/A
110544;OPEN;Approve GeoSlam;USER_TASK;201960;ASSIGNED;2594;CAPE TOWN;2;#N/A
110542;OPEN;Approve GeoSlam;USER_TASK;201958;ASSIGNED;2595;CAPE TOWN;2;#N/A
120027;OPEN;Approve GeoSlam;USER_TASK;202182;ASSIGNED;2611;JOHANNESBURG;2;#N/A
130091;OPEN;Approve GeoSlam;USER_TASK;202219;ASSIGNED;2634;JOHANNESBURG;1;#N/A
110540;OPEN;Approve GeoSlam;USER_TASK;201956;ASSIGNED;2639;JOHANNESBURG;2;#N/A
100157;OPEN;Approve GeoSlam;USER_TASK;201536;ASSIGNED;2646;PRETORIA;1;#N/A
120029;OPEN;Approve GeoSlam;USER_TASK;202184;ASSIGNED;2658;JOHANNESBURG;2;#N/A
100167;OPEN;User task 2;USER_TASK;202357;ASSIGNED;2664;CAPE TOWN;1;#N/A
130069;OPEN;Approve GeoSlam;USER_TASK;202186;ASSIGNED;2685;BLOEMFONTEIN;2;#N/A
110340;OPEN;Approve GeoSlam;USER_TASK;201578;ASSIGNED;2704;JOHANNESBURG;1;#N/A
110508;OPEN;Approve QA;USER_TASK;202310;ASSIGNED;2800;JOHANNESBURG;1;#N/A
120042;OPEN;Approve GeoSlam;USER_TASK;202221;ASSIGNED;2800;JOHANNESBURG;1;#N/A
110296;OPEN;User task 1;USER_TASK;202325;ASSIGNED;2805;DURBAN;1;#N/A
110327;OPEN;User task 1;USER_TASK;202252;SUSPENDED;2808;JOHANNESBURG;1;#N/A
100169;OPEN;Approve GeoSlam;USER_TASK;201562;SUSPENDED;2808;JOHANNESBURG;1;#N/A
100149;OPEN;User task 1;USER_TASK;202343;ASSIGNED;2815;DURBAN;1;#N/A
130089;OPEN;Approve GeoSlam;USER_TASK;202215;SUSPENDED;2815;DURBAN;1;#N/A
